DECISION,Acronym,What it stands for,Why we suggested that,Group,User typed the acronym,Used in a longer search,User typed the long name,First searched,Times in documents,Times in titles,In UNTERM,UNTERM says,Agrees with us,UNTERM link,Anything to watch out for,Rule to paste into documents.sr
Maybe,pea,provincial electricity authority,only seen inside longer searches,1 - Best picks,No,Yes,No,2026-01-14,39,,Yes,Palestinian Energy Authority,Ambiguous,https://unterm.un.org/unterm2/en/view/02dd0691-056f-45c5-a6fa-bd44cbb572e2,"The dictionary also has ""pea"" - check it is not a word people type.","pea +> ?""provincial electricity authority"";"
Maybe,fdre,federal democratic republic ethiopia,only seen inside longer searches,1 - Best picks,No,Yes,No,2024-08-08,39,,No,,,,,"fdre +> ?""federal democratic republic ethiopia"";"
Maybe,frl,forest reference level,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2024-11-18,38,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/fad22561-6acc-4948-bdff-1afcd90f8cba,,"frl +> ?""forest reference level"";"
Maybe,neri,national environmental research institute,only seen inside longer searches,1 - Best picks,No,Yes,No,2025-11-28,38,,No,,,,"The dictionary also has ""neri"" - check it is not a word people type.","neri +> ?""national environmental research institute"";"
Maybe,dwr,department water resources,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2024-02-15,38,,No,,,,,"dwr +> ?""department water resources"";"
Maybe,gio,gas inventory office,only seen inside longer searches,1 - Best picks,No,Yes,No,2026-06-10,37,,Yes,gross industrial output,Ambiguous,https://unterm.un.org/unterm2/en/view/9a1fbfb1-21f1-46c7-8d71-33e0ae5723f5,"The dictionary also has ""gio"" - check it is not a word people type.","gio +> ?""gas inventory office"";"
Maybe,vat,value added tax,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2024-07-25,37,1,Yes,value added tax,Matches,https://unterm.un.org/unterm2/en/view/3ce92fd3-97e7-4046-8cc3-02cf28fd791c,"The dictionary also has ""vat"" - check it is not a word people type.","vat +> ?""value added tax"";"
Maybe,taf,technical assistance facility,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2025-11-25,36,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/25818930-1dc8-4809-8b2c-9667c95d98ac,,"taf +> ?""technical assistance facility"";"
Maybe,eei,edison electric institute,only seen inside longer searches,1 - Best picks,No,Yes,No,2026-05-12,36,,Yes,essential elements for information,Ambiguous,https://unterm.un.org/unterm2/en/view/49cd3714-428c-4f1d-b0a4-90e451792614,,"eei +> ?""edison electric institute"";"
Maybe,has,high alternative scenario,only seen inside longer searches,1 - Best picks,No,Yes,No,2023-10-25,36,,Yes,hardened aircraft shelter,Ambiguous,https://unterm.un.org/unterm2/en/view/1e6d45ee-65c4-4030-b403-e30e7db7c76b,,"has +> ?""high alternative scenario"";"
Maybe,irp,integrated resource plan,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2024-02-09,36,2,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/c425ee5e-3520-4019-a683-a60211460c05,,"irp +> ?""integrated resource plan"";"
Maybe,opm,office prime minister,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2025-11-19,36,,Yes,Organisation for Papua's Independence,Ambiguous,https://unterm.un.org/unterm2/en/view/c0b4b5e1-af63-4477-91ea-ed52bb742b84,,"opm +> ?""office prime minister"";"
Maybe,rss,royal scientific society,only seen inside longer searches,1 - Best picks,No,Yes,No,2025-11-08,35,,Yes,reintegration support scheme,Ambiguous,https://unterm.un.org/unterm2/en/view/369ebccc-417d-4106-9a46-de707a0f1f55,,"rss +> ?""royal scientific society"";"
Maybe,pame,protected area management effectiveness,only seen inside longer searches,1 - Best picks,No,Yes,No,2025-11-20,35,,Yes,Protection of the Arctic Marine Environment Working Group,Ambiguous,https://unterm.un.org/unterm2/en/view/6db3cb9e-c490-4bc1-a2ae-b2b0b502338f,,"pame +> ?""protected area management effectiveness"";"
Maybe,ibrd,international bank reconstruction development,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2025-11-17,35,,Yes,International Bank for Reconstruction and Development,Matches,https://unterm.un.org/unterm2/en/view/1288a9b7-14d5-4382-adf7-8eb3d7ca11fa,,"ibrd +> ?""international bank reconstruction development"";"
Maybe,dna,designated national authority,only seen inside longer searches,1 - Best picks,No,Yes,No,2024-08-10,35,,Yes,Defence Nuclear Agency,Ambiguous,https://unterm.un.org/unterm2/en/view/fbad8206-eee5-496f-bc2a-4a91825a07d0,,"dna +> ?""designated national authority"";"
Maybe,aai,alliance automotive innovation,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2025-05-02,35,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/5db2be3a-14d4-40aa-bbbc-5ae0a4b2f6e7,,"aai +> ?""alliance automotive innovation"";"
Maybe,des,data exchange standard,only seen inside longer searches,1 - Best picks,No,Yes,No,2023-12-19,34,,Yes,dietary energy supply,Ambiguous,https://unterm.un.org/unterm2/en/view/991eadba-079f-4289-8a38-63404666f4cf,,"des +> ?""data exchange standard"";"
Maybe,dpwh,department public works highways,only seen inside longer searches,1 - Best picks,No,Yes,No,2025-01-30,34,,No,,,,,"dpwh +> ?""department public works highways"";"
Maybe,fpa,federal power act,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2025-12-19,34,,Yes,Framework Programme of Action,Ambiguous,https://unterm.un.org/unterm2/en/view/a208071f-2739-410e-8f85-cc2914b5af44,,"fpa +> ?""federal power act"";"
Maybe,scap,species conservation action plan,only seen inside longer searches,1 - Best picks,No,Yes,No,2026-03-09,34,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/16083b94-4a7f-4962-89fd-f737cb92fc87,"The dictionary also has ""scap"" - check it is not a word people type.","scap +> ?""species conservation action plan"";"
Maybe,hcc,high council climate,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2026-03-16,34,,Yes,Headquarters Committee on Contracts,Ambiguous,https://unterm.un.org/unterm2/en/view/d31ddf2e-8f5c-4fbc-a660-6cd6aceb4781,,"hcc +> ?""high council climate"";"
Maybe,scrap,students challenging regulatory agency procedures,only seen inside longer searches,1 - Best picks,No,Yes,No,2024-07-27,33,,No,,,,"The dictionary also has ""scrap"" - check it is not a word people type.","scrap +> ?""students challenging regulatory agency procedures"";"
Maybe,cdkn,climate development knowledge network,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2026-02-19,33,2,No,,,,,"cdkn +> ?""climate development knowledge network"";"
Maybe,mfa,ministry foreign affairs,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2025-05-28,33,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/9311403b-15b6-410b-99d9-33932379b7b1,,"mfa +> ?""ministry foreign affairs"";"
Maybe,ria,regulatory impact analysis,only seen inside longer searches,1 - Best picks,No,Yes,No,2024-02-21,32,,Yes,radioimmunoassay,Ambiguous,https://unterm.un.org/unterm2/en/view/00d3ee87-1b1d-4bdc-a719-ba7b523069ea,"The dictionary also has ""ria"" - check it is not a word people type.","ria +> ?""regulatory impact analysis"";"
Maybe,mie,multilateral implementing entity,only seen inside longer searches,1 - Best picks,No,Yes,No,2026-04-13,32,,Yes,meals and incidental expenses,Ambiguous,https://unterm.un.org/unterm2/en/view/3569064b-fa1b-437b-887f-c7ad47aa09c2,,"mie +> ?""multilateral implementing entity"";"
Maybe,rea,rural electrifi cation authorit,only seen inside longer searches,1 - Best picks,No,Yes,No,2024-03-26,32,,Yes,"Resources Mobilization Service (Americas, Australia and Asia)",Ambiguous,https://unterm.un.org/unterm2/en/view/b6d6f9a8-fd15-41cd-bcce-906df98d6c81,"The dictionary also has ""rea"" - check it is not a word people type.","rea +> ?""rural electrifi cation authorit"";"
Maybe,toe,tons oil equivalent,only seen inside longer searches,1 - Best picks,No,Yes,No,2025-07-31,31,,Yes,ton of oil equivalent,Ambiguous,https://unterm.un.org/unterm2/en/view/3b9a14ff-50f1-4914-9b64-514af73cd8d3,"The dictionary also has ""toe"" - check it is not a word people type.","toe +> ?""tons oil equivalent"";"
Maybe,tar,tribal authority rule,weak - the acronym is also a normal word,1 - Best picks,No,Yes,No,2024-01-04,31,,Yes,terminal assessment report,Ambiguous,https://unterm.un.org/unterm2/en/view/37d96ea0-07d4-4506-a490-5016216379c6,Also an everyday English word.,"tar +> ?""tribal authority rule"";"
Maybe,gbf,global biodiversity framework,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2024-08-07,31,,Yes,gravitational biology facility,Ambiguous,https://unterm.un.org/unterm2/en/view/f23c073a-de7f-49ef-a353-76e006180b62,,"gbf +> ?""global biodiversity framework"";"
Maybe,shgc,solar heat gain coefficient,only seen inside longer searches,1 - Best picks,No,Yes,No,2024-05-15,31,,No,,,,,"shgc +> ?""solar heat gain coefficient"";"
Maybe,depc,department environmental protection conservation,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2026-06-13,31,,No,,,,,"depc +> ?""department environmental protection conservation"";"
Maybe,nie,national implementing entity,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2026-01-13,30,,Yes,new industrial economy,Ambiguous,https://unterm.un.org/unterm2/en/view/065bc6c9-59ab-4f61-a29f-1a3d5aee39c4,,"nie +> ?""national implementing entity"";"
Maybe,paf,priority action framework,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2025-07-21,29,,Yes,planning accuracy factor,Ambiguous,https://unterm.un.org/unterm2/en/view/6ba2d6e1-bb4d-42c9-b483-34747159cbcc,,"paf +> ?""priority action framework"";"
Maybe,weo,world energy outlook,only seen inside longer searches,1 - Best picks,No,Yes,No,2024-04-05,28,,Yes,World Economic Outlook,Ambiguous,https://unterm.un.org/unterm2/en/view/7df57ea4-f92f-49c8-ba60-ff87f32b51ce,,"weo +> ?""world energy outlook"";"
Maybe,lac,latin america caribbean,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2023-11-30,28,,Yes,light absorbing carbon,Ambiguous,https://unterm.un.org/unterm2/en/view/11754269-1fdf-400b-94c3-a05896fa9ac7,"The dictionary also has ""lac"" - check it is not a word people type.","lac +> ?""latin america caribbean"";"
Maybe,mec,ministry education culture,only seen inside longer searches,1 - Best picks,No,Yes,No,2025-03-10,28,,Yes,municipal election commission,Ambiguous,https://unterm.un.org/unterm2/en/view/a1670189-f769-44ce-8c75-ed9855de1f1d,,"mec +> ?""ministry education culture"";"
Maybe,vfdm,volta flood drought management,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2025-12-07,27,,No,,,,,"vfdm +> ?""volta flood drought management"";"
Maybe,jreeef,jordan renewable energy energy efficiency fund,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2025-09-04,27,,Yes,Jordan Renewable Energy and Energy Efficiency Fund,Matches,https://unterm.un.org/unterm2/en/view/2722a664-6819-4b73-a212-fc39a63835f1,,"jreeef +> ?""jordan renewable energy energy efficiency fund"";"
Maybe,pop,persistent organic pollutants,"only the long name was searched, not the acronym",1 - Best picks,No,Yes,Yes,2024-12-11,27,,Yes,persistent organic pollutant,Ambiguous,https://unterm.un.org/unterm2/en/view/c8bf446d-a015-449e-84e8-c6f20e24f9ac,Also an everyday English word.,"pop +> ?""persistent organic pollutants"";"
Maybe,dbsa,development bank southern africa,only seen inside longer searches,1 - Best picks,No,Yes,No,2026-03-02,27,,No,,,,,"dbsa +> ?""development bank southern africa"";"
Maybe,lged,local government engineering department,only seen inside longer searches,1 - Best picks,No,Yes,No,2025-12-03,27,,No,,,,,"lged +> ?""local government engineering department"";"
Maybe,nfp,national focal point,only seen inside longer searches,1 - Best picks,No,Yes,No,2026-09-01,27,,Yes,Nairobi Framework Partnership,Ambiguous,https://unterm.un.org/unterm2/en/view/bcd3717c-cff9-4d83-b54c-a5d7fe537c42,,"nfp +> ?""national focal point"";"
Maybe,nccas,national climate change adaptation strategy,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2023-09-19,27,2,No,,,,,"nccas +> ?""national climate change adaptation strategy"";"
Maybe,ocs,outer continental shelf,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2025-11-19,26,,Yes,outer continental shelf,Matches,https://unterm.un.org/unterm2/en/view/feee1438-6725-492f-8bb2-80d896ab7fcd,,"ocs +> ?""outer continental shelf"";"
Maybe,ared,accelerated renewable energy development,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2024-11-27,26,,Yes,Associates in Research and Education for Development,Ambiguous,https://unterm.un.org/unterm2/en/view/93b31b0a-4209-4fac-8328-423b323b36a2,"The dictionary also has ""ared"" - check it is not a word people type.","ared +> ?""accelerated renewable energy development"";"
Maybe,decc,department environment climate change,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2024-02-15,26,,No,,,,,"decc +> ?""department environment climate change"";"
Maybe,scc,social cost carbon,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2024-05-07,26,,Yes,security control centre,Ambiguous,https://unterm.un.org/unterm2/en/view/a239564a-c905-4f9b-bb34-8a0a051f527a,,"scc +> ?""social cost carbon"";"
Maybe,mnr,ministry natural resources,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2026-01-28,26,,Yes,Movimiento Nacional Revolucionario,Ambiguous,https://unterm.un.org/unterm2/en/view/0535cc74-fa87-4c45-a6b4-72c30eac2d9c,,"mnr +> ?""ministry natural resources"";"
Maybe,nssd,national strategy sustainable development,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2023-09-29,26,,Yes,national strategy for sustainable development,Matches,https://unterm.un.org/unterm2/en/view/083b7d2e-b94f-4134-8258-b9d331b5c5cc,,"nssd +> ?""national strategy sustainable development"";"
Maybe,iba,important bird areas,only seen inside longer searches,1 - Best picks,No,Yes,No,2026-03-16,26,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/024de6d7-c66f-4367-885a-41bb611196ff,"The dictionary also has ""iba"" - check it is not a word people type.","iba +> ?""important bird areas"";"
Maybe,csc,carbon stock change,only seen inside longer searches,1 - Best picks,No,Yes,No,2024-02-02,26,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/4ffd6ddf-c9e6-4a4f-8d57-5751188b793a,,"csc +> ?""carbon stock change"";"
Maybe,bev,battery electric vehicles,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2023-12-19,25,2,Yes,battery electric vehicle,Ambiguous,https://unterm.un.org/unterm2/en/view/0d855069-ef4d-44aa-bdc4-2231de73b2dc,,"bev +> ?""battery electric vehicles"";"
Maybe,srep,scaling up renewable energy programme,only seen inside longer searches,1 - Best picks,No,Yes,No,2026-08-10,25,2,No,,,,,"srep +> ?""scaling up renewable energy programme"";"
Maybe,hud,housing urban development,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2024-03-14,25,,Yes,head-up display,Ambiguous,https://unterm.un.org/unterm2/en/view/e6e73e0f-625e-4d80-9062-7e31568076c7,"The dictionary also has ""hud"" - check it is not a word people type.","hud +> ?""housing urban development"";"
Maybe,cin,corporate identity number,only seen inside longer searches,1 - Best picks,No,Yes,No,2026-02-22,25,,Yes,country information note,Ambiguous,https://unterm.un.org/unterm2/en/view/3a36f26d-e122-4947-b221-74a5f8c19aa6,,"cin +> ?""corporate identity number"";"
Maybe,memd,ministry energy mineral development,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2025-01-18,25,,No,,,,,"memd +> ?""ministry energy mineral development"";"
Maybe,cco,climate change office,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2024-08-03,25,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/3c5048c0-b284-4ac2-b9c7-64fde36175cf,,"cco +> ?""climate change office"";"
Maybe,mbta,migratory bird treaty act,only seen inside longer searches,1 - Best picks,No,Yes,No,2026-04-14,25,,No,,,,,"mbta +> ?""migratory bird treaty act"";"
Maybe,czma,coastal zone management act,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2024-07-19,25,,No,,,,,"czma +> ?""coastal zone management act"";"
Maybe,nmeee,national mission enhanced energy efficiency,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2025-09-24,25,,No,,,,,"nmeee +> ?""national mission enhanced energy efficiency"";"
Maybe,rie,regional implementing entity,only seen inside longer searches,1 - Best picks,No,Yes,No,2025-09-21,24,,Yes,regional implementing entity,Matches,https://unterm.un.org/unterm2/en/view/7a6e947e-e910-4604-a8d1-5bf712ec39b1,"The dictionary also has ""rie"" - check it is not a word people type.","rie +> ?""regional implementing entity"";"
Maybe,pat,perform achieve trade,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2024-11-24,24,2,Yes,Auxiliary Transitory Police,Ambiguous,https://unterm.un.org/unterm2/en/view/aa45922f-f892-46ac-9b33-b7a583e56a95,"The dictionary also has ""pat"" - check it is not a word people type.","pat +> ?""perform achieve trade"";"
Maybe,cer,clean energy regulator,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2025-10-24,24,1,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/4e740268-339c-4ba5-adcc-f36238be76cd,,"cer +> ?""clean energy regulator"";"
Maybe,pic,prior informed consent,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2025-02-26,24,,Yes,Pacific Islands Centre,Ambiguous,https://unterm.un.org/unterm2/en/view/ddedd986-fcc0-4137-a8d4-03f0383c71ad,"The dictionary also has ""pic"" - check it is not a word people type.","pic +> ?""prior informed consent"";"
Maybe,cpcb,central pollution control board,only seen inside longer searches,1 - Best picks,No,Yes,No,2026-03-26,24,,No,,,,,"cpcb +> ?""central pollution control board"";"
Maybe,ncsd,national council sustainable development,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2025-04-15,24,,Yes,National Council for Sustainable Development,Matches,https://unterm.un.org/unterm2/en/view/b26006ce-3e41-4219-87f4-e116b27bb94a,,"ncsd +> ?""national council sustainable development"";"
Maybe,aps,announced pledges scenario,only seen inside longer searches,1 - Best picks,No,Yes,No,2026-04-16,23,,Yes,aircraft prepared for service,Ambiguous,https://unterm.un.org/unterm2/en/view/c414041c-c9da-458f-9805-674a22ff3039,,"aps +> ?""announced pledges scenario"";"
Maybe,elaw,environmental law alliance worldwide,only seen inside longer searches,1 - Best picks,No,Yes,No,2025-10-25,23,,No,,,,,"elaw +> ?""environmental law alliance worldwide"";"
Maybe,sne,single national entity,only seen inside longer searches,1 - Best picks,No,Yes,No,2025-03-30,23,,No,,,,,"sne +> ?""single national entity"";"
Maybe,din,dissolved inorganic nitrogen,only seen inside longer searches,1 - Best picks,No,Yes,No,2025-10-15,23,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/7147fc2b-ac52-4077-a38b-b32b07fb226f,"The dictionary also has ""din"" - check it is not a word people type.","din +> ?""dissolved inorganic nitrogen"";"
Maybe,eeas,european external action service,only seen inside longer searches,1 - Best picks,No,Yes,No,2024-11-16,23,,Yes,European External Action Service,Matches,https://unterm.un.org/unterm2/en/view/100edef3-39ee-44c7-847a-e82370b866ee,,"eeas +> ?""european external action service"";"
Maybe,brcrn,building resilient churia region nepal,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2025-02-25,23,9,No,,,,,"brcrn +> ?""building resilient churia region nepal"";"
Maybe,tea,thailand energy academy,weak - the acronym is also a normal word,1 - Best picks,No,Yes,No,2025-09-09,23,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/95141ac5-4ed6-4fe1-9b51-aac116a6565f,Also an everyday English word.,"tea +> ?""thailand energy academy"";"
Maybe,nmvoc,non methane volatile organic compounds,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2025-05-14,23,,Yes,non-methane volatile organic compound,Ambiguous,https://unterm.un.org/unterm2/en/view/f1db789c-6223-4863-b00f-5a09a1633727,,"nmvoc +> ?""non methane volatile organic compounds"";"
Maybe,nccsc,national climate change steering committee,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2024-08-05,22,,No,,,,,"nccsc +> ?""national climate change steering committee"";"
Maybe,anpdf,afghanistan national peace development framework,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2024-07-22,22,2,No,,,,,"anpdf +> ?""afghanistan national peace development framework"";"
Maybe,nrm,natural resource management,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2025-07-21,22,,Yes,NAVTEX receiver mask,Ambiguous,https://unterm.un.org/unterm2/en/view/e26cb951-e8aa-4cfc-977a-044c494aa35a,,"nrm +> ?""natural resource management"";"
Maybe,ntf,national task force,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2024-03-21,22,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/e42fb96e-b9a5-4178-a66e-eb363f4c4000,,"ntf +> ?""national task force"";"
Maybe,araf,acumen resilient agriculture fund,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2025-06-24,22,9,No,,,,,"araf +> ?""acumen resilient agriculture fund"";"
Maybe,card,consolidated admissions reporting directive,only seen inside longer searches,1 - Best picks,No,Yes,No,2025-03-19,22,,Yes,Coalition for African Rice Development,Ambiguous,https://unterm.un.org/unterm2/en/view/d82fb269-eeb3-498c-81c1-7eff77ba1ecc,"The dictionary also has ""card"" - check it is not a word people type.","card +> ?""consolidated admissions reporting directive"";"
Maybe,nsf,national science foundation,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2025-07-07,22,,Yes,National Solidarity Fund,Ambiguous,https://unterm.un.org/unterm2/en/view/06c2584e-f75e-46c3-b50a-2fa2f6b60b59,,"nsf +> ?""national science foundation"";"
Maybe,shs,solar home systems,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2025-02-09,22,2,Yes,solar home system,Ambiguous,https://unterm.un.org/unterm2/en/view/e59ba17a-515f-4acb-90a5-cd2f47877f66,,"shs +> ?""solar home systems"";"
Maybe,psd,prevention significant deterioration,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2026-02-10,22,,Yes,Private Sector Division,Ambiguous,https://unterm.un.org/unterm2/en/view/3f1e5e69-bc08-4cbb-9a97-a694cf3a01dc,,"psd +> ?""prevention significant deterioration"";"
Maybe,ohs,occupational health safety,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2025-12-12,22,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/eee2bbca-c5f9-4dac-9b97-440d9887f5ec,,"ohs +> ?""occupational health safety"";"
Maybe,rei,renewable energy integration,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2025-03-07,22,,No,,,,,"rei +> ?""renewable energy integration"";"
Maybe,nmsa,national mission sustainable agriculture,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2024-08-09,21,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/d513cc2f-d6a3-4896-aaa4-af9832f15000,,"nmsa +> ?""national mission sustainable agriculture"";"
Maybe,mct,micronesia conservation trust,only seen inside longer searches,1 - Best picks,No,Yes,No,2024-02-07,21,,Yes,mine-clearance training,Ambiguous,https://unterm.un.org/unterm2/en/view/32c171fe-5e53-46ac-a29e-c8c4a235be11,,"mct +> ?""micronesia conservation trust"";"
Maybe,mrd,ministry rural development,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2026-03-16,21,,Yes,Mouvement démocratique républicain,Ambiguous,https://unterm.un.org/unterm2/en/view/8a5965ef-d610-493f-b354-1908ec1930fd,,"mrd +> ?""ministry rural development"";"
Maybe,ncco,national climate change office,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2024-08-03,21,,No,,,,,"ncco +> ?""national climate change office"";"
Maybe,crva,climate risk vulnerability assessment,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2025-09-09,21,,No,,,,,"crva +> ?""climate risk vulnerability assessment"";"
Maybe,ecbc,energy conservation building code,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2026-08-03,21,,No,,,,,"ecbc +> ?""energy conservation building code"";"
Maybe,gbff,global biodiversity framework fund,only seen inside longer searches,1 - Best picks,No,Yes,No,2024-10-31,21,,No,,,,,"gbff +> ?""global biodiversity framework fund"";"
Maybe,gbv,gender based violence,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2025-03-20,21,,No,,,,,"gbv +> ?""gender based violence"";"
Maybe,enrm,environment natural resources management,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2024-07-28,21,,Yes,Environment and Natural Resource Management,Ambiguous,https://unterm.un.org/unterm2/en/view/2a86e233-e5fd-4a4f-89dd-d98aba5ac0d0,,"enrm +> ?""environment natural resources management"";"
Maybe,hev,hybrid electric vehicles,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2025-04-16,21,,Yes,hybrid electric vehicle,Ambiguous,https://unterm.un.org/unterm2/en/view/ea471183-f740-4013-9d82-43e8a272cebb,,"hev +> ?""hybrid electric vehicles"";"
Maybe,dhw,domestic hot water,"only the long name was searched, not the acronym",1 - Best picks,No,No,Yes,2024-11-17,20,,No,,,,,"dhw +> ?""domestic hot water"";"
Maybe,nab,national advisory board,only seen inside longer searches,1 - Best picks,No,Yes,Yes,2025-10-16,20,,Yes,National Broadcasters' Association,Ambiguous,https://unterm.un.org/unterm2/en/view/8b5f9ff0-f840-4726-b34e-0efd5cd7fb21,"The dictionary also has ""nab"" - check it is not a word people type.","nab +> ?""national advisory board"";"
Maybe,eap,economically active population,only seen inside longer searches,1 - Best picks,No,Yes,No,2025-10-08,20,,Yes,Environment and Atmosphere Programme,Ambiguous,https://unterm.un.org/unterm2/en/view/dc26ac34-22fc-4d66-92cc-077cc091c3ee,,"eap +> ?""economically active population"";"
Maybe,unccd,united nations convention combat desertification,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2023-09-29,5247,,Yes,"United Nations Convention to Combat Desertification in Those Countries Experiencing Serious Drought and/or Desertification, Particularly in Africa",Close,https://unterm.un.org/unterm2/en/view/d530f34e-19aa-4c75-8130-4c68d5ccf784,competing: united nations convention combat desertification (5223); united nations framework convention combat desertification (24),"unccd +> ?""united nations convention combat desertification"";"
Maybe,ipcc,intergovernmental panel climate change,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2023-10-27,3894,,Yes,Intergovernmental Panel on Climate Change,Matches,https://unterm.un.org/unterm2/en/view/7fb4ae0a-5c25-4ca8-9cdd-c05a584fa04b,competing: intergovernmental panel climate change (3863); inter governmental panel climate change (31),"ipcc +> ?""intergovernmental panel climate change"";"
Maybe,gef,global environment facility,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2023-11-30,3593,,Yes,Global Environment Facility,Matches,https://unterm.un.org/unterm2/en/view/b7bcb719-bd38-452d-8c60-7103d37bb984,competing: global environment facility (3412); global environmental facility (148); global environment fund (33),"gef +> ?""global environment facility"";"
Maybe,nid,national inventory document,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2024-09-23,2631,221,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/5a2fbdc8-9802-49a6-bff7-ed5ecb1e7469,"The dictionary also has ""nid"" - check it is not a word people type. competing: national inventory document (2551); national inventor document (80)","nid +> ?""national inventory document"";"
Maybe,nir,national inventory report,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2023-10-05,2542,645,Yes,near-infrared spectrum,Ambiguous,https://unterm.un.org/unterm2/en/view/b453fb69-8925-423d-b26f-c3579edc775b,competing: national inventory report (2503); national inventory reports (39),"nir +> ?""national inventory report"";"
Maybe,ndc,nationally determined contribution,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2023-09-18,2476,26,Yes,National Defence Commission,Ambiguous,https://unterm.un.org/unterm2/en/view/c34f4592-7e78-459b-b8c8-6bfa8f047603,already a rule in passages.sr,"ndc +> ?""nationally determined contribution"";"
